Census Tract Id, Mean Elevation, Median Household Income
1011.10, 513.460431654676313, 68529
1011.22, 543.966360856269148, 108198
1012.20, 566.258823529411757, 59119
1012.21, 512.461538461538453, 48305
1012.22, 528.767441860465169, 32106
1013.00, 601.768025078369874, 111393
1014.00, 542.308483290488425, 68000
1021.03, 293.418918918918905, 65481
1021.04, 280.224390243902462, 91402
1021.05, 224.790322580645153, 84519
1021.07, 389.701567398119096, 90625
1031.01, 426.106719367588937, 121705
1031.02, 437.065789473684220, 75203
1032.01, 394.987551867219906, 77377
1032.02, 383.562180579216374, 104747
1033.00, 340.121052631578948, 129904
1034.01, 472.473988439306368, 110323
1034.02, 445.595588235294144, 105500
1041.03, 365.627118644067821, 105921
1041.05, 332.875000000000000, 51711
1041.08, 334.500000000000000, 58784
1041.24, 400.370106761565864, 68772
1042.01, 343.835820895522374, 83462
1042.03, 332.356321839080465, 55875
1042.04, 426.118902439024396, 61927
1043.10, 319.819672131147513, 86635
1043.21, 316.828125000000000, 31714
1043.22, 320.116279069767415, 59550
1044.01, 303.638554216867476, 66563
1044.03, 291.579545454545439, 85096
1044.04, 301.606060606060623, 71202
1045.00, 290.859375000000000, 69167
1046.10, 300.452054794520564, 73167
1046.20, 295.720588235294144, 76304
1047.01, 312.514705882352928, 45984
1047.03, 287.544827586206907, 55451
1047.04, 314.107317073170748, 45781
1048.21, 281.107692307692332, 75662
1048.22, 280.533333333333360, 56208
1048.23, 284.307692307692321, 86488
1048.24, 286.589041095890423, 81149
1060.10, 451.926517571884972, 99352
1060.20, 451.204081632653072, 101140
1061.11, 443.072674418604663, 111364
1061.12, 401.166246851385381, 101563
1061.13, 394.257142857142867, 104922
1061.14, 373.354330708661394, 68194
1064.03, 377.234848484848499, 87813
1064.05, 401.464788732394368, 83882
1064.06, 425.784860557768923, 92009
1064.07, 393.399999999999977, 43850
1064.08, 399.482758620689651, 56471
1065.10, 434.777622377622379, 79083
1065.20, 378.876811594202877, 87279
1066.03, 531.465463108320250, 123077
1066.04, 367.267912772585646, 61754
1066.41, 402.676258992805742, 102308
1066.42, 358.854922279792731, 131173
1066.43, 398.390654205607461, 187931
1066.45, 356.061093247588417, 121068
1066.46, 312.455555555555577, 115720
1066.48, 344.718750000000000, 72829
1066.49, 354.762589928057537, 85769
1070.10, 364.293478260869563, 79643
1070.20, 351.867768595041298, 84021
1081.01, 381.770833333333314, 133973
1081.02, 388.636029411764696, 115583
1081.03, 420.311111111111131, 138694
1081.04, 476.148514851485174, 151458
1082.02, 433.827913279132815, 155465
1082.03, 464.952941176470574, 120357
1082.04, 392.918128654970758, 133409
1091.00, 309.575301204819255, 61111
1092.00, 308.388888888888914, 115284
1093.00, 289.730769230769226, 101904
1094.00, 294.320754716981128, 87279
1095.00, 308.666666666666686, 61101
1096.01, 282.603636363636383, 101346
